episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
290,1.0,111,130,19,0.1462,111.0,60.0,17.08,18.0,0.9487,1.85,16.98,0.0,0.06,641.88,60,0.799175,19310.533203,1.774707,-0.456979,0.6205,1.0,1.2139
291,1.0,123,147,24,0.1633,123.0,60.0,16.82,18.0,0.9344,2.05,16.72,0.0,0.06,936.74,60,0.40247,39931.271875,1.775318,-0.457228,0.5959,1.0,1.3302
292,1.0,114,139,25,0.1799,114.0,60.0,13.7,18.0,0.7609,1.9,13.6,0.0,0.06,547.49,60,0.249449,11651.448535,1.77584,-0.33571,0.5141,1.0,1.3019
293,1.0,109,128,19,0.1484,109.0,60.0,16.52,18.0,0.9178,1.8167,16.42,0.0,0.06,949.57,60,0.355184,40323.050391,1.776375,-0.378062,0.9541,1.0,1.34
294,1.0,141,163,22,0.135,141.0,60.0,23.27,18.0,1.2927,2.35,23.17,0.0,0.06,1418.52,60,0.656765,91492.692969,1.776812,-0.518903,0.782,1.0,1.4276
295,1.0,131,161,30,0.1863,131.0,60.0,14.89,18.0,0.8272,2.1833,14.79,0.0,0.06,675.97,60,0.35056,13920.28457,1.777201,-0.293907,0.9905,1.0,1.3894
296,1.0,115,140,25,0.1786,115.0,60.0,13.96,18.0,0.7758,1.9167,13.86,0.0,0.06,770.18,60,0.354185,27973.60293,1.77766,-0.326423,0.635,1.0,1.2569
297,1.0,112,141,29,0.2057,112.0,60.0,10.56,18.0,0.5869,1.8667,10.46,0.0,0.06,829.91,60,1.823755,22550.794531,1.778324,-0.414192,0.9336,1.0,1.4184
298,1.0,118,137,19,0.1387,118.0,60.0,19.04,18.0,1.0575,1.9667,18.94,0.0,0.06,1346.44,60,0.599012,70084.564844,1.779534,-0.48183,0.6861,1.0,1.4031
299,1.0,97,124,27,0.2177,97.0,60.0,7.98,18.0,0.4433,1.6167,7.88,0.0,0.06,503.75,60,1.183596,9554.12959,1.780448,-0.287647,0.8633,1.0,1.3075
