episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
213,1.0,127,148,21,0.1419,127.0,60.0,20.08,18.0,1.1155,2.1167,19.98,2.3288,0.06,1303.29,60,1.237304,79279.717188,1.729676,-0.417833,0.9986,1.0,1.3748
214,1.0,115,142,27,0.1901,115.0,60.0,12.63,18.0,0.7019,1.9167,12.53,2.3418,0.06,820.88,60,4.626407,29275.455469,1.730686,-0.660974,0.7218,1.0,1.343
215,1.0,119,140,21,0.15,119.0,60.0,17.85,18.0,0.9917,1.9833,17.75,2.3508,0.06,1198.25,60,0.938413,52740.980859,1.732789,-0.601067,0.5027,1.0,1.4162
216,1.0,118,139,21,0.1511,118.0,60.0,17.57,18.0,0.9763,1.9667,17.47,2.3599,0.06,755.75,60,1.328493,25560.825977,1.734192,-0.365555,0.8181,1.0,1.2694
217,1.0,114,136,22,0.1618,114.0,60.0,15.76,18.0,0.8755,1.9,15.66,2.3701,0.06,789.4,60,0.381167,25179.717773,1.735201,-0.486495,0.6604,1.0,1.4703
218,1.0,126,158,32,0.2025,126.0,60.0,12.28,18.0,0.6823,2.1,12.18,2.3844,0.06,403.2,60,1.128127,10521.921289,1.736036,-0.433447,0.5437,1.0,1.4066
219,1.0,96,119,23,0.1933,96.0,60.0,10.25,18.0,0.5692,1.6,10.15,2.3977,0.06,488.23,60,0.784309,7721.373145,1.73725,-0.595435,0.8489,1.0,1.4327
220,1.0,127,164,37,0.2256,127.0,60.0,9.45,18.0,0.5249,2.1167,9.35,2.4143,0.06,658.62,60,0.625146,12553.672363,1.738435,-0.601343,0.7633,1.0,1.4872
221,1.0,120,145,25,0.1724,120.0,60.0,15.31,18.0,0.8506,2.0,15.21,2.4255,0.06,782.37,60,0.238944,20648.258203,1.739369,-0.380299,0.6287,1.0,1.4058
222,1.0,123,152,29,0.1908,123.0,60.0,13.43,18.0,0.7463,2.05,13.33,2.4386,0.06,269.13,60,0.398608,3816.806982,1.740122,-0.548301,0.8436,1.0,1.3535
223,1.0,107,125,18,0.144,107.0,60.0,16.69,18.0,0.9273,1.7833,16.59,2.447,0.06,1272.84,60,1.220749,71676.057031,1.741141,-0.411151,0.7689,1.0,1.4074
224,1.0,136,163,27,0.1656,136.0,60.0,18.27,18.0,1.0151,2.2667,18.17,2.4575,0.06,810.11,60,0.397138,29120.547852,1.741977,-0.263116,0.9707,1.0,1.4674
225,1.0,129,147,18,0.1224,129.0,60.0,22.9,18.0,1.2724,2.15,22.8,2.4638,0.06,1674.89,60,2.761721,129464.626562,1.742585,-0.42759,0.791,1.0,1.3265
226,1.0,118,139,21,0.1511,118.0,60.0,17.57,18.0,0.9763,1.9667,17.47,2.4729,0.06,955.49,60,0.65895,39803.178516,1.743168,-0.316085,0.9659,1.0,1.4683
227,1.0,119,148,29,0.1959,119.0,60.0,12.38,18.0,0.6879,1.9833,12.28,2.4865,0.06,721.75,60,0.841816,21259.802734,1.743767,-0.465722,0.8794,1.0,1.427
228,1.0,113,143,30,0.2098,113.0,60.0,10.19,18.0,0.5663,1.8833,10.09,2.5015,0.06,500.82,60,0.15703,7920.248584,1.744491,-0.597336,0.9482,1.0,1.4962
229,1.0,119,157,38,0.242,119.0,60.0,6.9,18.0,0.3832,1.9833,6.8,2.5197,0.06,448.13,60,0.324635,8541.365918,1.745104,-0.42642,0.6732,1.0,1.5091
230,1.0,125,146,21,0.1438,125.0,60.0,19.52,18.0,1.0845,2.0833,19.42,2.528,0.06,1422.23,60,0.480458,94108.060156,1.745719,-0.454342,0.5001,1.0,1.2285
231,1.0,119,139,20,0.1439,119.0,60.0,18.58,18.0,1.0321,1.9833,18.48,2.5364,0.06,1207.72,60,0.846511,58291.950781,1.7462,-0.579298,0.975,1.0,1.3041
232,1.0,125,166,41,0.247,125.0,60.0,6.63,18.0,0.3681,2.0833,6.53,2.5551,0.06,261.18,60,0.742987,1510.576453,1.74722,-0.329267,0.5153,1.0,1.4707
233,1.0,130,163,33,0.2025,130.0,60.0,12.68,18.0,0.7045,2.1667,12.58,2.5694,0.06,394.12,60,0.283476,9169.147852,1.749466,-0.358333,0.8783,1.0,1.291
234,1.0,122,141,19,0.1348,122.0,60.0,20.16,18.0,1.12,2.0333,20.06,2.5769,0.06,1295.88,60,0.306113,55124.041406,1.750927,-0.353155,0.585,1.0,1.3883
235,1.0,107,136,29,0.2132,107.0,60.0,9.28,18.0,0.5158,1.7833,9.18,2.5922,0.06,593.69,60,0.307664,11670.978809,1.75167,-0.261935,0.7745,1.0,1.4976
236,1.0,112,135,23,0.1704,112.0,60.0,14.52,18.0,0.8066,1.8667,14.42,2.6032,0.06,1636.32,60,0.680786,92733.403906,1.752237,-0.51299,0.5063,1.0,1.389
237,1.0,118,138,20,0.1449,118.0,60.0,18.3,18.0,1.0166,1.9667,18.2,2.6117,0.06,1233.89,60,0.392206,61307.471094,1.752716,-0.468451,0.5685,1.0,1.3155
238,1.0,117,147,30,0.2041,117.0,60.0,11.22,18.0,0.6235,1.95,11.12,2.6261,0.06,255.72,60,0.276147,5040.747461,1.753211,-0.352755,0.8648,1.0,1.3714
239,1.0,121,144,23,0.1597,121.0,60.0,16.97,18.0,0.943,2.0167,16.87,2.6361,0.06,1339.79,60,0.457193,60406.658984,1.753942,-0.501877,0.971,1.0,1.4425
240,1.0,119,144,25,0.1736,119.0,60.0,15.04,18.0,0.8356,1.9833,14.94,2.6475,0.06,801.17,60,0.388609,31668.655859,1.754493,-0.373289,0.7155,1.0,1.4227
241,1.0,137,169,32,0.1893,137.0,60.0,15.16,18.0,0.8422,2.2833,15.06,2.6604,0.06,1093.28,60,0.336085,53122.071875,1.754936,-0.359877,0.9246,1.0,1.3385
242,1.0,99,123,24,0.1951,99.0,60.0,10.38,18.0,0.5768,1.65,10.28,2.6739,0.06,465.74,60,1.190626,11777.635742,1.755499,-0.43354,0.8592,1.0,1.429
243,1.0,113,148,35,0.2365,113.0,60.0,7.18,18.0,0.3987,1.8833,7.08,2.6915,0.06,563.96,60,0.415732,9313.493848,1.756683,-0.48766,0.8196,1.0,1.3528
244,1.0,118,132,14,0.1061,118.0,60.0,22.88,18.0,1.2714,1.9667,22.78,2.6962,0.06,1748.28,60,0.541355,130475.445312,1.757774,-0.464448,0.5415,1.0,1.3374
245,1.0,141,160,19,0.1187,141.0,60.0,25.56,18.0,1.4198,2.35,25.46,2.702,0.06,1728.25,60,0.976658,126899.417969,1.758416,-0.44341,0.9235,1.0,1.3523
246,1.0,125,153,28,0.183,125.0,60.0,14.62,18.0,0.8125,2.0833,14.52,2.7143,0.06,383.66,60,0.234134,14720.034961,1.758945,-0.308381,0.7875,1.0,1.2692
247,1.0,115,137,22,0.1606,115.0,60.0,16.03,18.0,0.8907,1.9167,15.93,2.7244,0.06,742.31,60,0.848938,29505.809766,1.759511,-0.526585,0.7883,1.0,1.2474
248,1.0,106,129,23,0.1783,106.0,60.0,12.9,18.0,0.7167,1.7667,12.8,2.7362,0.06,901.08,60,0.296587,29720.654688,1.760155,-0.46962,0.5105,1.0,1.3704
249,1.0,124,152,28,0.1842,124.0,60.0,14.36,18.0,0.7977,2.0667,14.26,2.7486,0.06,1287.56,60,0.829305,56331.407031,1.760705,-0.395525,0.9357,1.0,1.4297
250,1.0,123,144,21,0.1458,123.0,60.0,18.96,18.0,1.0535,2.05,18.86,2.7572,0.06,1253.77,60,0.366131,64875.864844,1.76123,-0.33628,0.8484,1.0,1.2795
251,1.0,126,156,30,0.1923,126.0,60.0,13.57,18.0,0.7538,2.1,13.47,2.7705,0.06,754.3,60,1.116187,20444.216016,1.761715,-0.599349,0.8892,1.0,1.2861
252,1.0,121,137,16,0.1168,121.0,60.0,22.17,18.0,1.2316,2.0167,22.07,2.7761,0.06,1306.59,60,0.269318,77226.217188,1.762351,-0.351632,0.6886,1.0,1.4126
253,1.0,115,135,20,0.1481,115.0,60.0,17.46,18.0,0.9702,1.9167,17.36,2.7849,0.06,1418.97,60,0.332213,89536.463281,1.762762,-0.510767,0.6817,1.0,1.412
254,1.0,135,153,18,0.1176,135.0,60.0,24.62,18.0,1.3676,2.25,24.52,2.7907,0.06,938.31,60,0.627154,44920.673828,1.763106,-0.392023,0.5869,1.0,1.3221
255,1.0,121,144,23,0.1597,121.0,60.0,16.97,18.0,0.943,2.0167,16.87,2.8007,0.06,1141.52,60,0.295846,52781.213672,1.763573,-0.449913,0.5253,1.0,1.2531
256,1.0,115,139,24,0.1727,115.0,60.0,14.64,18.0,0.8135,1.9167,14.54,2.8119,0.06,1277.89,60,5.292178,63569.889453,1.764249,-0.455293,0.8351,1.0,1.3921
257,1.0,123,155,32,0.2065,123.0,60.0,11.51,18.0,0.6392,2.05,11.41,2.8266,0.06,1158.45,60,0.025034,53312.36875,1.765422,-0.261083,0.8514,1.0,1.3563
258,1.0,127,160,33,0.2062,127.0,60.0,11.91,18.0,0.6615,2.1167,11.81,2.8412,0.06,456.71,60,1.978454,8520.808789,1.766577,-0.553411,0.5829,1.0,1.4527
259,1.0,138,166,28,0.1687,138.0,60.0,18.12,18.0,1.0068,2.3,18.02,2.8521,0.06,1029.24,60,0.743622,47767.212109,1.768762,-0.383586,0.6801,1.0,1.3593
260,1.0,111,141,30,0.2128,111.0,60.0,9.68,18.0,0.5379,1.85,9.58,2.8674,0.06,500.71,60,0.09805,6682.211377,1.770161,-0.327745,0.7832,1.0,1.4677
261,1.0,101,128,27,0.2109,101.0,60.0,9.0,18.0,0.4997,1.6833,8.9,2.8825,0.06,419.61,60,0.433344,4623.069482,1.771196,-0.474152,0.6143,1.0,1.4391
262,1.0,99,125,26,0.208,99.0,60.0,9.11,18.0,0.506,1.65,9.01,2.8973,0.06,345.06,60,0.853212,4487.099414,1.772277,-0.395878,0.6112,1.0,1.3698
263,1.0,112,143,31,0.2168,112.0,60.0,9.32,18.0,0.5178,1.8667,9.22,2.9129,0.06,440.43,60,0.411223,8700.873633,1.773446,-0.394665,0.8675,1.0,1.2517
264,1.0,121,147,26,0.1769,121.0,60.0,14.9,18.0,0.8277,2.0167,14.8,2.9246,0.06,738.5,60,0.351026,20707.210547,1.774392,-0.392626,0.9739,1.0,1.4197
265,1.0,124,157,33,0.2102,124.0,60.0,11.14,18.0,0.6187,2.0667,11.04,2.9396,0.06,941.73,60,0.71759,31828.175977,1.775139,-0.540158,0.5053,1.0,1.3898
266,1.0,125,158,33,0.2089,125.0,60.0,11.39,18.0,0.6329,2.0833,11.29,2.9545,0.06,749.04,60,0.354358,17277.275391,1.775986,-0.350698,0.7864,1.0,1.3856
267,1.0,131,153,22,0.1438,131.0,60.0,20.46,18.0,1.1369,2.1833,20.36,2.9629,0.06,945.38,60,1.004377,38511.601562,1.776767,-0.450587,0.6769,1.0,1.4378
268,1.0,112,147,35,0.2381,112.0,60.0,6.93,18.0,0.3852,1.8667,6.83,2.9807,0.06,182.08,60,0.25022,1646.437683,1.777806,-0.545382,0.8648,1.0,1.3062
269,1.0,127,156,29,0.1859,127.0,60.0,14.49,18.0,0.8051,2.1167,14.39,2.9933,0.06,981.73,60,1.019199,43953.319531,1.779661,-0.468271,0.5179,1.0,1.3295
270,1.0,107,144,37,0.2569,107.0,60.0,4.61,18.0,0.2559,1.7833,4.51,3.013,0.06,718.3,60,0.132823,13840.466797,1.781064,-0.459168,0.7182,1.0,1.3401
271,1.0,122,150,28,0.1867,122.0,60.0,13.83,18.0,0.7681,2.0333,13.73,3.0257,0.06,1026.12,60,0.63129,33715.494336,1.782078,-0.380609,0.9221,1.0,1.363
272,1.0,101,130,29,0.2231,101.0,60.0,7.77,18.0,0.4316,1.6833,7.67,3.042,0.06,493.05,60,0.724619,9842.897754,1.78304,-0.463169,0.8143,1.0,1.35
273,1.0,109,137,28,0.2044,109.0,60.0,10.42,18.0,0.579,1.8167,10.32,3.0564,0.06,416.45,60,0.632559,7186.48623,1.784196,-0.340258,0.6014,1.0,1.2574
274,1.0,122,149,27,0.1812,122.0,60.0,14.49,18.0,0.8051,2.0333,14.39,3.0685,0.06,1095.17,60,0.875054,51739.704688,1.785464,-0.541951,0.872,1.0,1.3358
