episode,time_h,completed,attempts,errors,err_rate,err_target,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,episode_reward,episode_steps,mean_speed,mean_care,buffer_size,critic_loss,actor_loss,alpha,consistency_loss,contrastive_loss,mean_novelty,mean_weight,q_mean,novelty_raw,delta_mpl_cust_pred,delta_mpl_total,delta_mpl_cust,spread,spread_value,s_cust,s_plat,rebate,captured_spread,w_h_indexed,customer_cost,consumer_surplus
10,0.017,2,3,1,0.3333,0.0993,120.0,60,-4.0,18.0,-0.2222,2.0,-4.1,0.0394,726.7,60,0.513,0.444,660,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7215,-5.7686,120.0,-5.7686,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
11,0.017,5,6,1,0.1667,0.0993,300.0,60,40.0,18.0,2.2222,5.0,39.9,0.04,718.89,60,0.493,0.524,720,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7489,-3.897,180.0,-3.897,22.0,0.3667,0.0,1.0,0.0,0.3667,18.0,18.0,0.0
12,0.017,1,3,2,0.6667,0.0992,60.0,60,-22.0,18.0,-1.2222,1.0,-22.1,0.0457,-272.72,60,0.473,0.494,780,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.752,-1.027,-240.0,-1.027,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
13,0.017,2,6,4,0.6667,0.0991,120.0,60,-44.0,18.0,-2.4444,2.0,-44.1,0.0514,-3244.27,60,0.435,0.504,840,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7183,-4.7036,60.0,-4.7036,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
14,0.017,5,5,0,0.0,0.0991,300.0,60,90.0,18.0,5.0,5.0,89.9,0.0504,3359.26,60,0.481,0.507,900,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7575,-3.7795,180.0,-3.7795,72.0,1.2,0.0,1.0,0.0,1.2,18.0,18.0,0.0
15,0.017,3,4,1,0.25,0.099,180.0,60,9.0,18.0,0.5,3.0,8.9,0.0519,-472.06,60,0.542,0.421,960,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7217,-0.8853,-120.0,-0.8853,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,9.0
16,0.017,2,5,3,0.6,0.0989,120.0,60,-36.0,18.0,-2.0,2.0,-36.1,0.0569,1341.77,60,0.525,0.53,1020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7405,-2.7141,-60.0,-2.7141,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
17,0.017,3,3,0,0.0,0.0989,180.0,60,54.0,18.0,3.0,3.0,53.9,0.0559,2221.11,60,0.497,0.492,1080,4485.575195,-0.119745,0.1,0.0,0.0,0.5,1.0,-0.01,0.7356,-3.5944,60.0,-3.5944,36.0,0.6,0.0,1.0,0.0,0.6,18.0,18.0,0.0
18,0.017,2,2,0,0.0,0.0988,120.0,60,36.0,18.0,2.0,2.0,35.9,0.0549,871.14,60,0.556,0.493,1140,4867.511719,-0.131143,0.0999,0.0,0.0,0.5,1.0,-0.0,0.7314,-2.6108,-60.0,-2.6108,18.0,0.3,0.0,1.0,0.0,0.3,18.0,18.0,0.0
19,0.017,1,5,4,0.8,0.0987,60.0,60,-30.0,18.0,-1.6667,1.0,-30.1,0.062,-766.95,60,0.443,0.523,1200,4941.675781,-0.14635,0.0999,0.0,0.0,0.5,1.0,0.01,0.7265,-3.4854,-60.0,-3.4854,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
20,0.017,1,3,2,0.6667,0.0987,60.0,60,-22.0,18.0,-1.2222,1.0,-22.1,0.0676,-473.43,60,0.463,0.531,1260,4965.348633,-0.16054,0.0999,0.0,0.0,0.5,1.0,0.03,0.7451,-4.3806,0.0,-4.3806,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
21,0.017,4,5,1,0.2,0.0986,240.0,60,24.0,18.0,1.3333,4.0,23.9,0.0687,39.44,60,0.445,0.543,1320,4974.868164,-0.172176,0.0999,0.0,0.0,0.5,1.0,0.04,0.7183,-4.2675,180.0,-4.2675,6.0,0.1,0.0,1.0,0.0,0.1,18.0,18.0,0.0
22,0.017,1,2,1,0.5,0.0985,60.0,60,-12.0,18.0,-0.6667,1.0,-12.1,0.0727,92.68,60,0.465,0.507,1380,5184.695312,-0.183253,0.0998,0.0,0.0,0.5,1.0,0.05,0.7242,-1.4763,-180.0,-1.4763,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
23,0.017,2,3,1,0.3333,0.0985,120.0,60,-4.0,18.0,-0.2222,2.0,-4.1,0.075,1760.59,60,0.489,0.456,1440,5498.018555,-0.198228,0.0998,0.0,0.0,0.5,1.0,0.07,0.7339,-4.2138,60.0,-4.2138,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
24,0.017,1,1,0,0.0,0.0984,60.0,60,18.0,18.0,1.0,1.0,17.9,0.074,12.0,60,0.51,0.488,1500,5498.545898,-0.211752,0.0998,0.0,0.0,0.5,1.0,0.08,0.739,-3.2317,-60.0,-3.2317,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0
25,0.017,4,5,1,0.2,0.0983,240.0,60,24.0,18.0,1.3333,4.0,23.9,0.075,2508.65,60,0.514,0.513,1560,5822.993164,-0.224304,0.0997,0.0,0.0,0.5,1.0,0.09,0.7369,-4.1061,180.0,-4.1061,6.0,0.1,0.0,1.0,0.0,0.1,18.0,18.0,0.0
26,0.017,2,2,0,0.0,0.0983,120.0,60,36.0,18.0,2.0,2.0,35.9,0.0741,144.11,60,0.508,0.582,1620,5829.200684,-0.237658,0.0997,0.0,0.0,0.5,1.0,0.11,0.731,-1.2639,-120.0,-1.2639,18.0,0.3,0.0,1.0,0.0,0.3,18.0,18.0,0.0
27,0.017,0,1,1,1.0,0.0982,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.0831,-7.47,60,0.5,0.439,1680,5828.212402,-0.25238,0.0997,0.0,0.0,0.5,1.0,0.12,0.7347,-3.0898,-120.0,-3.0898,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
28,0.017,3,3,0,0.0,0.0981,180.0,60,54.0,18.0,3.0,3.0,53.9,0.0821,1724.67,60,0.427,0.473,1740,5966.141602,-0.268952,0.0996,0.0,0.0,0.5,1.0,0.13,0.7288,-4.8785,180.0,-4.8785,36.0,0.6,0.0,1.0,0.0,0.6,18.0,18.0,0.0
29,0.017,2,4,2,0.5,0.0981,120.0,60,-24.0,18.0,-1.3333,2.0,-24.1,0.0861,-487.64,60,0.495,0.506,1800,5985.944336,-0.282944,0.0996,0.0,0.0,0.5,1.0,0.15,0.7255,-2.0456,-60.0,-2.0456,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
