episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
145,1.0,125,159,34,0.2138,125.0,60.0,10.77,18.0,0.5984,2.0833,10.67,1.4722,0.06,689.67,60,0.348742,20205.357422,1.588675,-0.32643,0.0,1.0,1.3124
146,1.0,115,135,20,0.1481,115.0,60.0,17.46,18.0,0.9702,1.9167,17.36,1.481,0.06,1106.0,60,0.740396,48168.205859,1.589173,-0.409456,0.0,1.0,1.4439
147,1.0,122,140,18,0.1286,122.0,60.0,20.91,18.0,1.1619,2.0333,20.81,1.4879,0.06,1021.3,60,0.321016,52180.392969,1.589613,-0.244103,0.0,1.0,1.4502
148,1.0,120,145,25,0.1724,120.0,60.0,15.31,18.0,0.8506,2.0,15.21,1.4991,0.06,976.27,60,1.317113,38748.3,1.589989,-0.336283,0.0,1.0,1.3805
149,1.0,134,155,21,0.1355,134.0,60.0,22.05,18.0,1.2247,2.2333,21.95,1.5067,0.06,1059.23,60,0.845493,51102.026562,1.590507,-0.572252,0.0,1.0,1.4621
150,1.0,124,156,32,0.2051,124.0,60.0,11.76,18.0,0.6536,2.0667,11.66,1.5212,0.06,809.94,60,0.488246,25710.707422,1.590985,-0.28268,0.0,1.0,1.3938
151,1.0,104,141,37,0.2624,104.0,60.0,3.91,18.0,0.2172,1.7333,3.81,1.5414,0.06,517.66,60,0.085933,9132.731934,1.591494,-0.297346,0.0,1.0,1.3032
152,1.0,110,132,22,0.1667,110.0,60.0,14.67,18.0,0.8148,1.8333,14.57,1.5521,0.06,1119.2,60,0.169125,53232.534766,1.592174,-0.335626,0.0,1.0,1.3367
153,1.0,107,134,27,0.2015,107.0,60.0,10.54,18.0,0.5856,1.7833,10.44,1.5663,0.06,894.67,60,0.242048,33650.257031,1.592644,-0.410864,0.0,1.0,1.2659
154,1.0,120,152,32,0.2105,120.0,60.0,10.74,18.0,0.5965,2.0,10.64,1.5813,0.06,112.93,60,0.262083,1570.460669,1.593327,-0.382991,0.0,1.0,1.2707
155,1.0,134,158,24,0.1519,134.0,60.0,19.85,18.0,1.1025,2.2333,19.75,1.5905,0.06,1489.19,60,8.053764,83288.635938,1.594953,-0.32454,0.0,1.0,1.4201
156,1.0,136,158,22,0.1392,136.0,60.0,21.86,18.0,1.2146,2.2667,21.76,1.5984,0.06,1401.05,60,0.095183,81532.217969,1.596541,-0.342159,0.0,1.0,1.388
