episode,time_h,completed,attempts,errors,err_rate,err_target,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,episode_reward,episode_steps,mean_speed,mean_care,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
834,1.0,101,111,10,0.0901,0.06,101.0,60.0,21.2,18.0,1.1778,1.6833,21.1,0.0381,1256.76,60,0.482,0.398,1.685142,71426.724219,4.80798,-0.773746,0.0,1.0,1.3814
835,1.0,86,94,8,0.0851,0.06,86.0,60.0,18.48,18.0,1.0267,1.4333,18.38,0.0383,968.66,60,0.665,0.58,2.982061,45290.521875,4.810551,-0.999528,0.0,1.0,1.4156
836,1.0,94,101,7,0.0693,0.06,94.0,60.0,21.69,18.0,1.2047,1.5667,21.59,0.0384,1159.45,60,0.561,0.402,1.308941,61874.780859,4.812301,-0.935679,0.0,1.0,1.4046
837,1.0,88,94,6,0.0638,0.06,88.0,60.0,20.78,18.0,1.1546,1.4667,20.68,0.0384,1113.95,60,0.594,0.409,0.558408,44253.378125,4.813404,-0.865907,0.0,1.0,1.4754
838,1.0,93,103,10,0.0971,0.06,93.0,60.0,18.87,18.0,1.0484,1.55,18.77,0.0388,1118.41,60,0.579,0.515,2.159202,48397.367969,4.814207,-1.23486,0.0,1.0,1.39
839,1.0,98,104,6,0.0577,0.06,98.0,60.0,23.75,18.0,1.3192,1.6333,23.65,0.0388,1384.66,60,0.566,0.259,2.707492,80329.311719,4.815227,-0.982881,0.0,1.0,1.3453
840,1.0,94,102,8,0.0784,0.06,94.0,60.0,20.83,18.0,1.1571,1.5667,20.73,0.039,1487.35,60,0.662,0.51,2.000541,95821.788281,4.816312,-0.945156,0.0,1.0,1.4059
841,1.0,92,97,5,0.0515,0.06,92.0,60.0,22.86,18.0,1.2699,1.5333,22.76,0.0389,1190.91,60,0.553,0.479,2.642577,62649.455078,4.81732,-0.934846,0.0,1.0,1.4335
842,1.0,96,104,8,0.0769,0.06,96.0,60.0,21.42,18.0,1.1897,1.6,21.32,0.0391,1119.61,60,0.523,0.347,1.279608,55876.03125,4.818372,-0.970654,0.0,1.0,1.4425
843,1.0,89,95,6,0.0632,0.06,89.0,60.0,21.08,18.0,1.1711,1.4833,20.98,0.0391,1403.68,60,0.497,0.52,1.92508,75415.8125,4.81928,-1.143926,0.0,1.0,1.3627
844,1.0,109,118,9,0.0763,0.06,109.0,60.0,24.39,18.0,1.3548,1.8167,24.29,0.0392,1590.47,60,0.569,0.431,2.670685,96409.021875,4.820182,-0.866783,0.0,1.0,1.392
845,1.0,96,101,5,0.0495,0.06,96.0,60.0,24.05,18.0,1.336,1.6,23.95,0.0391,1752.88,60,0.691,0.285,0.360158,115852.994531,4.821062,-0.751533,0.0,1.0,1.4181
846,1.0,86,94,8,0.0851,0.06,86.0,60.0,18.48,18.0,1.0267,1.4333,18.38,0.0394,916.48,60,0.614,0.432,2.070862,28517.113867,4.821799,-0.833307,0.0,1.0,1.4465
847,1.0,103,108,5,0.0463,0.06,103.0,60.0,26.13,18.0,1.4517,1.7167,26.03,0.0393,1755.96,60,0.658,0.439,16.267656,123229.028906,4.823573,-0.980426,0.0,1.0,1.397
848,1.0,82,87,5,0.0575,0.06,82.0,60.0,19.89,18.0,1.1049,1.3667,19.79,0.0392,1182.78,60,0.42,0.326,22.401727,56812.25,4.828001,-0.988483,0.0,1.0,1.4161
849,1.0,94,103,9,0.0874,0.06,94.0,60.0,19.99,18.0,1.1104,1.5667,19.89,0.0395,1139.93,60,0.625,0.443,1.505195,47393.157812,4.834304,-1.059416,0.0,1.0,1.4193
850,1.0,91,97,6,0.0619,0.06,91.0,60.0,21.67,18.0,1.204,1.5167,21.57,0.0395,1354.27,60,0.571,0.426,0.887417,71865.658594,4.837778,-0.719288,0.0,1.0,1.3774
851,1.0,82,85,3,0.0353,0.06,82.0,60.0,21.71,18.0,1.2059,1.3667,21.61,0.0393,1410.56,60,0.559,0.449,4.798166,75451.753906,4.839574,-0.933779,0.0,1.0,1.3991
852,1.0,100,103,3,0.0291,0.06,100.0,60.0,27.09,18.0,1.5049,1.6667,26.99,0.039,1625.59,60,0.543,0.401,2.192748,115301.610156,4.841262,-0.991188,0.0,1.0,1.3979
853,1.0,100,105,5,0.0476,0.06,100.0,60.0,25.24,18.0,1.4021,1.6667,25.14,0.0388,1661.85,60,0.547,0.502,0.858715,120595.089062,4.842431,-0.793522,0.0,1.0,1.3477
854,1.0,111,117,6,0.0513,0.06,111.0,60.0,27.61,18.0,1.5338,1.85,27.51,0.0388,1783.48,60,0.693,0.459,1.226355,139393.79375,4.843135,-0.909545,0.0,1.0,1.413
855,1.0,93,104,11,0.1058,0.06,93.0,60.0,18.06,18.0,1.0035,1.55,17.96,0.0392,1062.49,60,0.599,0.501,0.477615,46961.049219,4.843674,-0.62957,0.0,1.0,1.3613
856,1.0,90,98,8,0.0816,0.06,90.0,60.0,19.65,18.0,1.0918,1.5,19.55,0.0394,1435.55,60,0.569,0.448,0.409954,77864.800781,4.844161,-0.800878,0.0,1.0,1.373
857,1.0,98,105,7,0.0667,0.06,98.0,60.0,22.87,18.0,1.2704,1.6333,22.77,0.0395,1390.38,60,0.635,0.494,0.996435,76191.239844,4.844616,-1.017877,0.0,1.0,1.3707
858,1.0,103,114,11,0.0965,0.06,103.0,60.0,20.96,18.0,1.1645,1.7167,20.86,0.0399,1254.06,60,0.511,0.276,2.218994,70851.529688,4.845218,-0.890238,0.0,1.0,1.3588
859,1.0,100,105,5,0.0476,0.06,100.0,60.0,25.24,18.0,1.4021,1.6667,25.14,0.0397,1550.5,60,0.534,0.376,1.157951,99268.530469,4.846042,-0.683681,0.0,1.0,1.3988
860,1.0,90,94,4,0.0426,0.06,90.0,60.0,23.17,18.0,1.2872,1.5,23.07,0.0396,1505.21,60,0.606,0.472,1.324128,90957.346875,4.846741,-0.845472,0.0,1.0,1.3847
861,1.0,101,104,3,0.0288,0.06,101.0,60.0,27.39,18.0,1.5215,1.6833,27.29,0.0393,1999.19,60,0.577,0.41,3.803382,177882.807812,4.847469,-0.841268,0.0,1.0,1.3654
862,1.0,87,91,4,0.044,0.06,87.0,60.0,22.28,18.0,1.2375,1.45,22.18,0.0391,1305.24,60,0.476,0.354,0.653797,67167.506641,4.848318,-0.67199,0.0,1.0,1.4115
863,1.0,92,95,3,0.0316,0.06,92.0,60.0,24.69,18.0,1.3719,1.5333,24.59,0.0388,1565.64,60,0.603,0.474,1.96939,103428.19375,4.849012,-0.844422,0.0,1.0,1.3642
864,1.0,93,99,6,0.0606,0.06,93.0,60.0,22.26,18.0,1.2369,1.55,22.16,0.0388,1152.32,60,0.561,0.372,0.739534,50087.708984,4.849739,-0.867097,0.0,1.0,1.3736
865,1.0,106,107,1,0.0093,0.06,106.0,60.0,30.81,18.0,1.7116,1.7667,30.71,0.0383,1764.28,60,0.586,0.453,1.820655,137353.215625,4.85041,-1.129439,0.0,1.0,1.4172
866,1.0,88,91,3,0.033,0.06,88.0,60.0,23.5,18.0,1.3055,1.4667,23.4,0.038,1444.82,60,0.547,0.469,4.087718,89181.964844,4.851224,-1.143334,0.0,1.0,1.4135
867,1.0,93,99,6,0.0606,0.06,93.0,60.0,22.26,18.0,1.2369,1.55,22.16,0.038,1428.47,60,0.68,0.486,0.663871,89216.844531,4.852358,-0.770094,0.0,1.0,1.3658
868,1.0,94,100,6,0.06,0.06,94.0,60.0,22.56,18.0,1.2533,1.5667,22.46,0.038,1480.49,60,0.584,0.439,1.733855,92472.401562,4.853179,-0.874667,0.0,1.0,1.3715
869,1.0,100,113,13,0.115,0.06,100.0,60.0,18.5,18.0,1.0275,1.6667,18.4,0.0386,1171.93,60,0.605,0.416,1.256096,45988.152344,4.853986,-0.925609,0.0,1.0,1.4182
870,1.0,88,93,5,0.0538,0.06,88.0,60.0,21.67,18.0,1.2038,1.4667,21.57,0.0385,967.3,60,0.527,0.44,1.453722,37342.928125,4.854906,-0.851938,0.0,1.0,1.4399
871,1.0,98,107,9,0.0841,0.06,98.0,60.0,21.16,18.0,1.1754,1.6333,21.06,0.0388,1477.9,60,0.639,0.444,1.246458,99170.880469,4.855877,-0.943374,0.0,1.0,1.418
872,1.0,90,99,9,0.0909,0.06,90.0,60.0,18.82,18.0,1.0455,1.5,18.72,0.0391,1250.19,60,0.656,0.48,2.027487,67932.985156,4.856732,-1.114614,0.0,1.0,1.3595
873,1.0,97,106,9,0.0849,0.06,97.0,60.0,20.86,18.0,1.1591,1.6167,20.76,0.0393,1083.52,60,0.632,0.428,0.714563,52730.025391,4.857661,-0.789222,0.0,1.0,1.4314
874,1.0,91,97,6,0.0619,0.06,91.0,60.0,21.67,18.0,1.204,1.5167,21.57,0.0393,1564.48,60,0.518,0.382,1.962231,88494.376562,4.858455,-1.034022,0.0,1.0,1.3869
875,1.0,86,93,7,0.0753,0.06,86.0,60.0,19.33,18.0,1.0737,1.4333,19.23,0.0395,1074.51,60,0.668,0.437,3.22549,49124.790625,4.859509,-1.098176,0.0,1.0,1.4392
876,1.0,90,93,3,0.0323,0.06,90.0,60.0,24.1,18.0,1.3387,1.5,24.0,0.0392,1457.71,60,0.626,0.536,1.274826,88063.358594,4.860959,-1.040025,0.0,1.0,1.3649
877,1.0,88,93,5,0.0538,0.06,88.0,60.0,21.67,18.0,1.2038,1.4667,21.57,0.0392,1234.67,60,0.422,0.549,2.357109,63209.772656,4.862107,-0.877624,0.0,1.0,1.4091
878,1.0,102,113,11,0.0973,0.06,102.0,60.0,20.67,18.0,1.1484,1.7,20.57,0.0395,1027.85,60,0.604,0.444,6.412487,42443.539453,4.863699,-1.056992,0.0,1.0,1.428
879,1.0,79,87,8,0.092,0.06,79.0,60.0,16.44,18.0,0.9131,1.3167,16.34,0.0399,1083.78,60,0.543,0.494,18.357178,45295.93125,4.867725,-1.207005,0.0,1.0,1.3858
880,1.0,95,99,4,0.0404,0.06,95.0,60.0,24.66,18.0,1.3701,1.5833,24.56,0.0397,1468.33,60,0.357,0.421,3.015201,81205.814844,4.874625,-1.057278,0.0,1.0,1.4039
881,1.0,87,94,7,0.0745,0.06,87.0,60.0,19.62,18.0,1.0901,1.45,19.52,0.0398,1144.13,60,0.571,0.505,1.57847,50068.587891,4.878732,-0.893194,0.0,1.0,1.4192
882,1.0,109,118,9,0.0763,0.06,109.0,60.0,24.39,18.0,1.3548,1.8167,24.29,0.04,1739.88,60,0.669,0.495,1.597027,134818.733594,4.880827,-0.724636,0.0,1.0,1.3719
883,1.0,110,113,3,0.0265,0.06,110.0,60.0,30.08,18.0,1.6711,1.8333,29.98,0.0396,2067.61,60,0.607,0.334,6.397723,174479.746875,4.882213,-0.931872,0.0,1.0,1.3577
884,1.0,81,92,11,0.1196,0.06,81.0,60.0,14.62,18.0,0.812,1.35,14.52,0.0402,841.74,60,0.579,0.492,3.105783,24985.548633,4.88412,-0.982088,0.0,1.0,1.4263
885,1.0,94,106,12,0.1132,0.06,94.0,60.0,17.56,18.0,0.9755,1.5667,17.46,0.0408,1068.36,60,0.534,0.359,0.834306,39646.134766,4.886428,-0.824506,0.0,1.0,1.3867
886,1.0,83,92,9,0.0978,0.06,83.0,60.0,16.78,18.0,0.9322,1.3833,16.68,0.0411,1070.3,60,0.567,0.486,1.756366,52104.328125,4.888003,-1.099334,0.0,1.0,1.3798
887,1.0,88,90,2,0.0222,0.06,88.0,60.0,24.44,18.0,1.358,1.4667,24.34,0.0408,1415.58,60,0.586,0.418,32.863186,87820.585938,4.890924,-0.823878,0.0,1.0,1.4124
888,1.0,101,110,9,0.0818,0.06,101.0,60.0,22.04,18.0,1.2242,1.6833,21.94,0.041,1475.57,60,0.595,0.442,1.055389,89151.157031,4.897679,-0.857696,0.0,1.0,1.3421
889,1.0,92,101,9,0.0891,0.06,92.0,60.0,19.4,18.0,1.0779,1.5333,19.3,0.0413,1109.79,60,0.512,0.412,1.400302,48499.243359,4.901462,-1.148747,0.0,1.0,1.4218
890,1.0,90,97,7,0.0722,0.06,90.0,60.0,20.51,18.0,1.1392,1.5,20.41,0.0414,1235.81,60,0.622,0.418,1.17724,60138.39375,4.903389,-0.955153,0.0,1.0,1.3907
891,1.0,84,90,6,0.0667,0.06,84.0,60.0,19.6,18.0,1.0889,1.4,19.5,0.0415,871.75,60,0.495,0.47,1.988346,26514.831641,4.904761,-0.985555,0.0,1.0,1.4837
892,1.0,108,112,4,0.0357,0.06,108.0,60.0,28.54,18.0,1.5857,1.8,28.44,0.0412,1780.54,60,0.452,0.36,1.652033,144105.721875,4.906212,-0.976247,0.0,1.0,1.3724
893,1.0,75,84,9,0.1071,0.06,75.0,60.0,14.46,18.0,0.8036,1.25,14.36,0.0417,1099.37,60,0.58,0.42,0.525101,40750.698438,4.90726,-1.026389,0.0,1.0,1.4262
894,1.0,90,102,12,0.1176,0.06,90.0,60.0,16.41,18.0,0.9118,1.5,16.31,0.0423,1308.78,60,0.651,0.519,0.768254,66319.679297,4.908081,-0.854879,0.0,1.0,1.3181
895,1.0,92,97,5,0.0515,0.06,92.0,60.0,22.86,18.0,1.2699,1.5333,22.76,0.0422,1300.32,60,0.512,0.498,1.311548,64083.691797,4.90883,-1.135783,0.0,1.0,1.3679
896,1.0,87,102,15,0.1471,0.06,87.0,60.0,13.31,18.0,0.7392,1.45,13.21,0.043,816.26,60,0.659,0.353,1.720241,21766.477539,4.909845,-0.942711,0.0,1.0,1.3555
897,1.0,98,104,6,0.0577,0.06,98.0,60.0,23.75,18.0,1.3192,1.6333,23.65,0.043,1616.9,60,0.574,0.517,0.619985,110046.272656,4.911355,-0.814335,0.0,1.0,1.355
898,1.0,105,110,5,0.0455,0.06,105.0,60.0,26.73,18.0,1.4848,1.75,26.63,0.0429,1606.01,60,0.676,0.476,1.450693,98193.08125,4.912358,-0.983874,0.0,1.0,1.3974
899,1.0,96,98,2,0.0204,0.06,96.0,60.0,26.84,18.0,1.4912,1.6,26.74,0.0425,1246.53,60,0.632,0.436,5.189287,73329.450781,4.913435,-1.084906,0.0,1.0,1.4374
900,1.0,106,111,5,0.045,0.06,106.0,60.0,27.03,18.0,1.5014,1.7667,26.93,0.0423,1855.13,60,0.584,0.502,1.121042,142053.585938,4.9151,-0.794629,0.0,1.0,1.3765
901,1.0,95,106,11,0.1038,0.06,95.0,60.0,18.64,18.0,1.0356,1.5833,18.54,0.0428,1045.39,60,0.527,0.443,2.146908,50561.873828,4.916348,-0.884341,0.0,1.0,1.4164
902,1.0,102,104,2,0.0192,0.06,102.0,60.0,28.64,18.0,1.591,1.7,28.54,0.0424,1973.65,60,0.649,0.427,2.749743,170281.00625,4.917655,-0.950199,0.0,1.0,1.3491
903,1.0,104,112,8,0.0714,0.06,104.0,60.0,23.77,18.0,1.3206,1.7333,23.67,0.0425,898.88,60,0.669,0.435,1.463709,37841.166406,4.918864,-0.826243,0.0,1.0,1.4182
904,1.0,86,91,5,0.0549,0.06,86.0,60.0,21.07,18.0,1.1708,1.4333,20.97,0.0424,1172.39,60,0.471,0.354,5.720832,51397.353906,4.92043,-1.121523,0.0,1.0,1.4449
905,1.0,97,106,9,0.0849,0.06,97.0,60.0,20.86,18.0,1.1591,1.6167,20.76,0.0427,1366.2,60,0.553,0.363,2.343277,65861.869531,4.922818,-0.930055,0.0,1.0,1.4262
906,1.0,102,108,6,0.0556,0.06,102.0,60.0,24.93,18.0,1.3852,1.7,24.83,0.0426,1747.72,60,0.49,0.445,2.860726,113840.598438,4.924765,-1.22516,0.0,1.0,1.4389
907,1.0,95,99,4,0.0404,0.06,95.0,60.0,24.66,18.0,1.3701,1.5833,24.56,0.0424,1381.82,60,0.525,0.472,4.156118,73741.820312,4.926448,-0.737909,0.0,1.0,1.3994
908,1.0,101,107,6,0.0561,0.06,101.0,60.0,24.64,18.0,1.3687,1.6833,24.54,0.0424,1432.22,60,0.542,0.327,1.129779,86968.934375,4.928229,-0.967186,0.0,1.0,1.3931
909,1.0,107,114,7,0.0614,0.06,107.0,60.0,25.53,18.0,1.4183,1.7833,25.43,0.0424,1400.89,60,0.654,0.514,2.916146,78231.788281,4.929573,-1.124233,0.0,1.0,1.4051
910,1.0,104,114,10,0.0877,0.06,104.0,60.0,22.08,18.0,1.2265,1.7333,21.98,0.0427,1427.99,60,0.654,0.387,1.026161,84954.700781,4.930905,-0.753255,0.0,1.0,1.3643
911,1.0,87,92,5,0.0543,0.06,87.0,60.0,21.37,18.0,1.1873,1.45,21.27,0.0426,1231.82,60,0.617,0.455,14.116629,62724.144531,4.932888,-1.153858,0.0,1.0,1.4017
912,1.0,85,92,7,0.0761,0.06,85.0,60.0,19.03,18.0,1.0574,1.4167,18.93,0.0428,907.3,60,0.49,0.456,1.458077,30375.266602,4.937287,-0.830611,0.0,1.0,1.4997
913,1.0,78,87,9,0.1034,0.06,78.0,60.0,15.33,18.0,0.8517,1.3,15.23,0.0432,1089.35,60,0.566,0.44,1.76896,45270.060938,4.940328,-0.822259,0.0,1.0,1.3815
914,1.0,99,110,11,0.1,0.06,99.0,60.0,19.8,18.0,1.1,1.65,19.7,0.0436,1304.59,60,0.611,0.378,0.938098,58294.484375,4.942305,-0.917152,0.0,1.0,1.4306
915,1.0,86,95,9,0.0947,0.06,86.0,60.0,17.65,18.0,0.9807,1.4333,17.55,0.044,1098.26,60,0.679,0.346,1.829247,46087.480859,4.943698,-0.881511,0.0,1.0,1.4151
916,1.0,93,97,4,0.0412,0.06,93.0,60.0,24.06,18.0,1.3369,1.55,23.96,0.0438,1448.15,60,0.603,0.424,2.44916,91005.90625,4.945094,-0.794714,0.0,1.0,1.3989
917,1.0,90,94,4,0.0426,0.06,90.0,60.0,23.17,18.0,1.2872,1.5,23.07,0.0436,1532.98,60,0.503,0.476,2.358163,99548.213281,4.946443,-0.996689,0.0,1.0,1.3533
918,1.0,105,110,5,0.0455,0.06,105.0,60.0,26.73,18.0,1.4848,1.75,26.63,0.0435,1920.92,60,0.576,0.457,0.857789,147121.660938,4.947634,-0.742241,0.0,1.0,1.3615
919,1.0,82,92,10,0.1087,0.06,82.0,60.0,15.69,18.0,0.8715,1.3667,15.59,0.044,942.9,60,0.615,0.429,1.936923,34405.907812,4.948614,-0.721942,0.0,1.0,1.4295
920,1.0,88,93,5,0.0538,0.06,88.0,60.0,21.67,18.0,1.2038,1.4667,21.57,0.0439,1449.14,60,0.564,0.347,1.494236,86064.202344,4.949965,-1.180651,0.0,1.0,1.3859
921,1.0,96,100,4,0.04,0.06,96.0,60.0,24.96,18.0,1.3867,1.6,24.86,0.0437,1460.37,60,0.599,0.383,1.072241,81496.405469,4.951126,-0.901242,0.0,1.0,1.3838
922,1.0,107,114,7,0.0614,0.06,107.0,60.0,25.53,18.0,1.4183,1.7833,25.43,0.0437,1257.2,60,0.625,0.466,1.472459,71249.930469,4.952075,-1.110107,0.0,1.0,1.4538
923,1.0,97,102,5,0.049,0.06,97.0,60.0,24.35,18.0,1.3525,1.6167,24.25,0.0436,1445.15,60,0.572,0.406,2.060375,85514.239844,4.953056,-1.007867,0.0,1.0,1.3885
924,1.0,96,106,10,0.0943,0.06,96.0,60.0,19.74,18.0,1.0969,1.6,19.64,0.0439,1329.79,60,0.589,0.37,0.881351,65997.223828,4.95411,-0.618178,0.0,1.0,1.3923
925,1.0,93,96,3,0.0312,0.06,93.0,60.0,24.99,18.0,1.3885,1.55,24.89,0.0437,1754.25,60,0.463,0.521,1.646322,125659.563281,4.955005,-1.090842,0.0,1.0,1.3478
926,1.0,96,103,7,0.068,0.06,96.0,60.0,22.28,18.0,1.2375,1.6,22.18,0.0437,1454.52,60,0.601,0.346,1.406017,87020.003125,4.955862,-1.060043,0.0,1.0,1.3823
927,1.0,115,122,7,0.0574,0.06,115.0,60.0,27.9,18.0,1.5501,1.9167,27.8,0.0437,1446.1,60,0.521,0.377,12.003009,102236.286719,4.957366,-0.973064,0.0,1.0,1.4443
928,1.0,92,99,7,0.0707,0.06,92.0,60.0,21.09,18.0,1.1719,1.5333,20.99,0.0438,1226.92,60,0.504,0.333,0.997687,64844.522656,4.960477,-0.836933,0.0,1.0,1.4023
929,1.0,96,105,9,0.0857,0.06,96.0,60.0,20.57,18.0,1.1429,1.6,20.47,0.0441,1487.23,60,0.527,0.371,1.167723,94491.502344,4.96248,-0.916912,0.0,1.0,1.3505
930,1.0,92,95,3,0.0316,0.06,92.0,60.0,24.69,18.0,1.3719,1.5333,24.59,0.0438,1342.27,60,0.506,0.408,1.625131,83262.529688,4.963737,-0.864227,0.0,1.0,1.4048
931,1.0,95,100,5,0.05,0.06,95.0,60.0,23.75,18.0,1.3194,1.5833,23.65,0.0437,1474.77,60,0.527,0.463,1.851475,86847.757031,4.964852,-1.089778,0.0,1.0,1.3493
932,1.0,90,99,9,0.0909,0.06,90.0,60.0,18.82,18.0,1.0455,1.5,18.72,0.044,1403.29,60,0.654,0.411,1.770688,82135.129688,4.96601,-0.886719,0.0,1.0,1.3418
933,1.0,92,97,5,0.0515,0.06,92.0,60.0,22.86,18.0,1.2699,1.5333,22.76,0.0439,1512.4,60,0.528,0.46,1.62242,81413.010156,4.9672,-0.992168,0.0,1.0,1.4094
934,1.0,81,86,5,0.0581,0.06,81.0,60.0,19.59,18.0,1.0884,1.35,19.49,0.0439,1354.02,60,0.522,0.392,1.76583,67249.120312,4.968379,-0.914957,0.0,1.0,1.3528
935,1.0,92,101,9,0.0891,0.06,92.0,60.0,19.4,18.0,1.0779,1.5333,19.3,0.0442,1369.49,60,0.59,0.466,0.633124,72158.800781,4.969573,-0.872982,0.0,1.0,1.3358
936,1.0,110,113,3,0.0265,0.06,110.0,60.0,30.08,18.0,1.6711,1.8333,29.98,0.0438,1992.64,60,0.628,0.479,1.8932,168360.782812,4.970511,-1.196404,0.0,1.0,1.3753
937,1.0,91,98,7,0.0714,0.06,91.0,60.0,20.8,18.0,1.1556,1.5167,20.7,0.044,1064.39,60,0.513,0.504,1.927082,36852.059766,4.971517,-1.051231,0.0,1.0,1.4829
938,1.0,93,94,1,0.0106,0.06,93.0,60.0,26.91,18.0,1.495,1.55,26.81,0.0435,1553.33,60,0.537,0.547,1.292428,103676.613281,4.972866,-0.907367,0.0,1.0,1.4016
939,1.0,90,92,2,0.0217,0.06,90.0,60.0,25.04,18.0,1.3913,1.5,24.94,0.0431,1308.71,60,0.595,0.529,1.395599,71478.809375,4.973986,-0.995773,0.0,1.0,1.4392
940,1.0,95,102,7,0.0686,0.06,95.0,60.0,21.98,18.0,1.2211,1.5833,21.88,0.0432,1299.0,60,0.59,0.484,382.620917,62469.327734,4.986769,-0.846753,0.0,1.0,1.3955
941,1.0,109,117,8,0.0684,0.06,109.0,60.0,25.25,18.0,1.4026,1.8167,25.15,0.0433,1466.37,60,0.565,0.446,3.11913,89758.379688,5.017867,-1.047601,0.0,1.0,1.3811
942,1.0,78,85,7,0.0824,0.06,78.0,60.0,16.98,18.0,0.9431,1.3,16.88,0.0435,996.62,60,0.486,0.476,3.793625,37218.790625,5.032798,-0.910597,0.0,1.0,1.3541
943,1.0,111,117,6,0.0513,0.06,111.0,60.0,27.61,18.0,1.5338,1.85,27.51,0.0434,1230.51,60,0.585,0.357,1.036927,73222.571875,5.038482,-1.15548,0.0,1.0,1.4703
944,1.0,90,96,6,0.0625,0.06,90.0,60.0,21.38,18.0,1.1875,1.5,21.27,0.0434,1480.69,60,0.611,0.503,0.594963,94355.653906,5.040646,-0.735596,0.0,1.0,1.3214
945,1.0,102,110,8,0.0727,0.06,102.0,60.0,23.18,18.0,1.2879,1.7,23.08,0.0435,1587.31,60,0.632,0.418,2.110892,99915.991406,5.041518,-0.893598,0.0,1.0,1.377
946,1.0,86,92,6,0.0652,0.06,86.0,60.0,20.19,18.0,1.1217,1.4333,20.09,0.0436,1309.72,60,0.589,0.425,339.948837,64541.367969,5.047934,-1.120547,0.0,1.0,1.3472
947,1.0,87,102,15,0.1471,0.06,87.0,60.0,13.31,18.0,0.7392,1.45,13.21,0.0445,784.47,60,0.698,0.305,0.604854,20794.142969,5.06735,-0.963257,0.0,1.0,1.4192
948,1.0,80,87,7,0.0805,0.06,80.0,60.0,17.56,18.0,0.9757,1.3333,17.46,0.0447,882.08,60,0.493,0.577,0.609292,29051.088672,5.077205,-0.952269,0.0,1.0,1.3849
949,1.0,100,107,7,0.0654,0.06,100.0,60.0,23.46,18.0,1.3032,1.6667,23.36,0.0447,1303.48,60,0.556,0.414,1.903331,67853.967188,5.080802,-1.045502,0.0,1.0,1.3721
950,1.0,94,104,10,0.0962,0.06,94.0,60.0,19.16,18.0,1.0645,1.5667,19.06,0.0451,1104.71,60,0.579,0.45,1.938389,46087.573828,5.082248,-1.069226,0.0,1.0,1.368
951,1.0,91,94,3,0.0319,0.06,91.0,60.0,24.4,18.0,1.3553,1.5167,24.3,0.0448,1673.02,60,0.53,0.481,0.865284,117269.053906,5.082944,-0.843711,0.0,1.0,1.3568
952,1.0,102,113,11,0.0973,0.06,102.0,60.0,20.67,18.0,1.1484,1.7,20.57,0.0452,1263.66,60,0.606,0.464,0.993146,68129.592969,5.083292,-0.82736,0.0,1.0,1.3906
953,1.0,106,109,3,0.0275,0.06,106.0,60.0,28.88,18.0,1.6046,1.7667,28.78,0.0449,1541.31,60,0.512,0.325,1.836033,95957.676562,5.083529,-1.143582,0.0,1.0,1.4562
954,1.0,79,82,3,0.0366,0.06,79.0,60.0,20.81,18.0,1.1561,1.3167,20.71,0.0446,1220.53,60,0.597,0.385,0.905763,61264.153125,5.083745,-1.119523,0.0,1.0,1.3764
955,1.0,91,99,8,0.0808,0.06,91.0,60.0,19.95,18.0,1.1081,1.5167,19.85,0.0448,1192.45,60,0.577,0.423,2.063014,49907.357812,5.083964,-0.950047,0.0,1.0,1.3951
956,1.0,87,92,5,0.0543,0.06,87.0,60.0,21.37,18.0,1.1873,1.45,21.27,0.0448,1475.94,60,0.529,0.45,3.585763,80965.541406,5.084274,-0.986355,0.0,1.0,1.3923
957,1.0,89,100,11,0.11,0.06,89.0,60.0,16.91,18.0,0.9394,1.4833,16.81,0.0453,818.57,60,0.611,0.318,1.538609,24730.83457,5.08467,-1.029345,0.0,1.0,1.3944
958,1.0,91,97,6,0.0619,0.06,91.0,60.0,21.67,18.0,1.204,1.5167,21.57,0.0453,1405.21,60,0.589,0.342,2.092669,81910.774219,5.085078,-0.979931,0.0,1.0,1.3601
959,1.0,87,92,5,0.0543,0.06,87.0,60.0,21.37,18.0,1.1873,1.45,21.27,0.0452,1479.06,60,0.569,0.427,1.672061,80114.452344,5.085421,-0.910395,0.0,1.0,1.4136
960,1.0,94,102,8,0.0784,0.06,94.0,60.0,20.83,18.0,1.1571,1.5667,20.73,0.0454,961.21,60,0.578,0.465,1.99168,33414.933789,5.08573,-0.971201,0.0,1.0,1.4405
961,1.0,92,95,3,0.0316,0.06,92.0,60.0,24.69,18.0,1.3719,1.5333,24.59,0.0451,1390.38,60,0.457,0.482,1.11033,82307.815625,5.086073,-0.986417,0.0,1.0,1.4123
962,1.0,83,89,6,0.0674,0.06,83.0,60.0,19.3,18.0,1.0725,1.3833,19.2,0.0452,1000.84,60,0.604,0.453,3.257723,37024.389453,5.086386,-0.851015,0.0,1.0,1.4487
963,1.0,81,84,3,0.0357,0.06,81.0,60.0,21.41,18.0,1.1893,1.35,21.31,0.045,1108.73,60,0.574,0.441,0.728413,46345.994141,5.086804,-1.049236,0.0,1.0,1.3842
964,1.0,92,98,6,0.0612,0.06,92.0,60.0,21.97,18.0,1.2204,1.5333,21.87,0.045,1384.4,60,0.583,0.455,1.269925,77920.613281,5.08711,-1.057409,0.0,1.0,1.3672
